Code	Freq
Student_Choice	6
Political_Problem	1
No_negative_consequences	4
FinishingDegreeisgood	1
Getpromotedincareer	1
LowCompletionRate	5
University_Responsibility	2
Less_Jobs	1
Waste_of_Investments	3
Missused_Opportunities	1
University_Rankings	1
Less_Popular_Specialisations	2
Boring_study_path	4
Opportunity_to_Transfer	3
Wrong_Speciality	6
Extreme_Workload	1
Family_issues	2
Financial_Issues	2
Health_Issues	1
Psychological_social_Issues	4
Hard_Curricular	6
Learning_Difficulties	3
Less_Support_from_Uni	1
Employment	8
Thesis	3
Student_Supervisor_Relationship	1
Perfectionism	1
Track_Student_Behaviour	1
Counseling	1
Academic_support_programs	3
Inform_Relevant_People	6
Track_Dropouts	1
Supervisor_Communication	1
Talk_to_Students	12
Seminars_and_Courses	4
Stuy_and_SelfManagement	2
Curriculum_Development	6
Group_Discussions	1
To_check_courseregistration	3
Check_study_results	2
Tax_office_data	1
Industry_perspectives	1
Qualitative_Data	2
Previous_Studies	1
Admission_Choice	4
Reasonfor_Academic_Leaves	7
Numberof_studentdropouts	1
Admission_Score	1
Extracurricular_courses	2
credits_Nextsem_Previoussem	2
LowGrades_FailedCourses	3
Nextsem_Payments	1
International_National_Clusters	2
