Code	SE1	SE3	Philosophy2	Philosophy3	Counselling1	Counselling2	Counselling3	Romance2	Romance3	Romance4	Pharmacy2	Pharmacy3
Student_Choice	2	1	2	1	2	1	1	2	2	2	2	2
Political_Problem	2	1	2	2	2	2	2	2	2	2	2	2
No_negative_consequences	1	1	1	2	2	2	2	2	2	2	2	2
FinishingDegreeisgood	1	2	2	2	2	2	2	2	2	2	2	2
Getpromotedincareer	2	1	2	2	2	2	2	2	2	2	2	2
LowCompletionRate	2	1	1	2	2	2	2	1	2	2	1	2
University_Responsibility	2	2	2	2	1	2	1	2	2	2	2	2
Less_Jobs	2	1	2	2	2	2	2	2	2	2	2	2
Waste_of_Investments	2	1	1	2	2	2	1	2	2	2	2	2
Missused_Opportunities	2	2	2	2	2	2	2	1	2	2	2	2
University_Rankings	2	2	1	2	2	2	2	2	2	2	2	2
Less_Popular_Specialisations	2	2	2	2	2	2	2	2	2	2	1	1
Boring_study_path	2	1	2	2	2	2	1	2	2	2	2	2
Opportunity_to_Transfer	2	2	2	2	2	2	2	1	1	2	1	2
Wrong_Speciality	2	2	1	1	2	2	2	1	2	2	1	2
Extreme_Workload	2	2	2	2	2	2	2	2	2	1	2	2
Family_issues	2	1	1	2	2	2	2	2	2	2	2	2
Financial_Issues	2	1	2	2	2	1	2	2	2	2	2	2
Health_Issues	2	2	2	1	2	2	2	2	2	2	2	2
Psychological_social_Issues	2	2	1	2	1	2	2	1	2	2	2	2
Hard_Curricular	2	2	2	2	1	1	1	1	2	2	1	2
Learning_Difficulties	2	2	1	2	2	2	1	2	2	2	1	2
Less_Support_from_Uni	2	2	1	2	2	2	2	2	2	2	2	2
Employment	1	1	1	2	2	1	1	2	2	2	2	2
Thesis	2	2	2	2	2	1	2	1	2	2	2	2
Student_Supervisor_Relationship	2	2	2	2	2	1	2	2	2	2	2	2
Perfectionism	2	1	2	2	2	2	2	2	2	2	2	2
Track_Student_Behaviour	2	2	2	1	2	2	2	2	2	2	2	2
Counseling	2	2	2	2	2	2	1	2	2	2	2	2
Academic_support_programs	2	2	2	1	2	2	2	2	2	2	1	2
Inform_Relevant_People	2	2	1	1	2	2	2	1	1	2	2	2
Track_Dropouts	2	2	1	2	2	2	2	2	2	2	2	2
Supervisor_Communication	2	2	1	2	2	2	2	2	2	2	2	2
Talk_to_Students	1	1	1	2	1	1	1	2	2	1	1	2
Seminars_and_Courses	2	2	2	2	2	1	1	2	2	2	1	2
Stuy_and_SelfManagement	2	2	2	2	1	1	2	2	2	2	2	2
Curriculum_Development	1	1	2	2	1	1	1	2	2	2	1	2
Group_Discussions	2	2	2	2	2	2	1	2	2	2	2	2
To_check_courseregistration	2	2	1	2	2	2	2	1	2	1	2	2
Check_study_results	2	2	1	2	2	2	2	1	2	2	2	2
Tax_office_data	2	1	2	2	2	2	2	2	2	2	2	2
Industry_perspectives	2	1	2	2	2	2	2	2	2	2	2	2
Qualitative_Data	2	1	2	2	2	2	2	1	2	2	2	2
Previous_Studies	2	2	2	2	2	2	2	2	2	2	1	2
Admission_Choice	2	2	1	2	2	2	2	1	1	2	2	1
Reasonfor_Academic_Leaves	2	2	1	1	2	2	1	2	2	1	2	2
Numberof_studentdropouts	2	2	2	2	2	2	2	2	2	2	1	2
Admission_Score	2	2	2	2	2	2	2	1	2	2	2	2
Extracurricular_courses	2	2	2	1	2	2	2	2	2	2	1	2
credits_Nextsem_Previoussem	2	2	2	2	2	2	2	1	1	2	2	2
LowGrades_FailedCourses	2	2	2	2	2	2	1	2	2	1	1	2
Nextsem_Payments	2	2	2	2	2	2	2	2	1	2	2	2
International_National_Clusters	1	1	2	2	2	2	2	2	2	2	2	2
