Participant	SE1	SE3	Philosophy2	Philosophy3	Philosophy4	Counselling1	Counselling2	Counselling3	Romance2	Romance3	Romance4	Pharmacy2	Pharmacy3
SocietalIssue	2	2	2	2	2	2	2	2	1	2	2	2	2
StudentChoice	2	1	2	1	2	2	1	1	2	2	2	2	2
PoliticalProblem	2	1	2	2	2	2	2	2	2	2	2	2	2
NotaHugeLoss	1	2	1	2	2	2	2	2	2	2	2	2	2
NotMuchImpact	2	1	2	2	2	2	2	2	2	2	2	2	2
Finishdegree	1	2	2	2	2	2	2	2	2	2	2	2	2
GetPromotedinCareer	2	1	2	2	2	2	2	2	2	2	2	2	2
LowCompletion	2	1	1	2	2	2	2	2	1	2	2	2	2
LowProbabilityinJob	2	1	2	2	2	2	2	2	2	2	2	2	2
WasteofInvestments	2	1	1	2	2	2	2	1	2	2	2	2	2
StudenttookSomeonesplace	2	2	2	2	2	2	2	2	1	2	2	2	2
N_PopularS	2	2	2	2	2	2	2	2	2	2	2	1	1
NInterest	2	1	2	2	2	2	2	1	2	2	2	2	2
OTransfer	2	2	2	2	2	2	2	2	1	1	2	1	2
WSpeciality	2	2	1	1	2	2	2	2	1	2	2	1	2
E_Workload	2	2	2	2	2	2	2	2	2	2	1	2	2
FamilyI	2	1	1	2	2	2	2	2	2	2	2	2	2
FinancialI	2	1	2	2	2	2	1	2	2	2	2	2	2
HealthP	2	2	2	1	2	2	2	2	2	2	2	2	2
Psyco_Social	2	2	1	2	2	2	2	2	2	2	2	2	2
DifficulutCourse	2	2	2	2	2	1	1	1	2	2	2	2	2
LearningD	2	2	1	2	2	2	2	1	2	2	2	1	2
Employment	1	1	1	2	2	2	1	1	2	2	2	2	2
Thesis	2	2	2	2	2	2	1	2	1	2	2	2	2
Perfectionism	2	1	2	2	2	2	2	2	2	2	2	2	2
Checkwithteachers	2	2	2	1	2	2	2	2	2	2	2	2	2
Counseling	2	2	2	2	2	2	2	1	2	2	2	2	2
ICourses	2	2	2	1	2	2	2	2	2	2	2	1	2
Inform	2	2	1	1	2	2	2	2	2	2	2	2	2
Tracking	2	2	1	2	2	2	2	2	2	2	2	2	2
SupervisorC	2	2	1	2	2	2	2	2	2	2	2	2	2
Talk	1	1	1	2	2	1	1	1	2	2	1	1	2
SandCourses	2	2	2	2	2	2	1	1	2	2	2	1	2
ImroveStudy_SelfM	2	2	2	2	2	1	1	2	2	2	2	2	2
CurriculumDevelopmnet	1	2	2	2	2	1	1	1	2	2	2	1	2
GroupDiscussions	2	2	2	2	2	2	2	1	2	2	2	2	2
CantfigureSP	2	2	2	2	2	1	2	1	2	2	2	1	2
DifficultConvince	2	2	2	1	2	2	2	2	2	2	2	1	2
DifficultCont	2	1	2	2	2	2	2	2	1	1	2	2	2
LecturersLI	2	2	2	2	2	2	2	1	2	2	2	2	2
NPtakingActions	2	2	2	1	2	2	2	1	2	2	2	2	2
TooLate	2	2	1	1	2	2	2	2	2	2	2	2	2
WorkHours	2	2	2	2	2	2	2	1	2	2	2	2	2
TMIssues	2	1	1	1	2	1	2	1	1	1	2	1	2
OwnData	1	2	2	2	2	2	2	2	2	1	2	1	2
DoNotuseSIS	1	1	2	2	2	2	2	2	2	1	2	1	1
UseSIS	2	2	2	2	2	2	2	2	1	2	1	2	2
LiketoseeStudentD	1	1	1	1	2	2	2	1	1	1	1	1	2
PositiveImp	2	2	1	2	1	2	2	1	1	2	1	1	1
NagativeImp	1	1	2	1	1	2	2	1	2	1	1	1	2
