Participant	SocietalIssue	StudentChoice	PoliticalProblem	NotaHugeLoss	NotMuchImpact	Finishdegree	GetPromotedinCareer	LowCompletion	LowProbabilityinJob	WasteofInvestments	StudenttookSomeonesplace	N_PopularS	NInterest	OTransfer	WSpeciality	E_Workload	FamilyI	FinancialI	HealthP	Psyco_Social	DifficulutCourse	LearningD	Employment	Thesis	Perfectionism	Checkwithteachers	Counseling	ICourses	Inform	Tracking	SupervisorC	Talk	SandCourses	ImroveStudy_SelfM	CurriculumDevelopmnet	GroupDiscussions	CantfigureSP	DifficultConvince	DifficultCont	LecturersLI	NPtakingActions	TooLate	WorkHours	TMIssues	OwnData	DoNotuseSIS	UseSIS	LiketoseeStudentD	PositiveImp	NagativeImp
SE1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1
SE3	2	1	1	2	1	2	1	1	1	1	2	2	1	2	2	2	1	1	2	2	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	1
Philosophy2	2	2	2	1	2	2	2	1	2	1	2	2	2	2	1	2	1	2	2	1	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	1	2
Philosophy3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	1	2	2	1	1	2	1	2	2	2	1	2	1
Philosophy4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1
Counselling1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2
Counselling2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Counselling3	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	1	1	2	1	1	1	2	2	1	1	2	1	1	2	2	2	1	1	1
Romance2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	1	1	2
Romance3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	1	2	1	2	1
Romance4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1
Pharmacy2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	1	1	2	1	2	1	1	2	2	2	2	2	1	1	1	2	1	1	1
Pharmacy3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2
