Code	Student_Choice	Political_Problem	No_negative_consequences	FinishingDegreeisgood	Getpromotedincareer	LowCompletionRate	University_Responsibility	Less_Jobs	Waste_of_Investments	Missused_Opportunities	University_Rankings	Less_Popular_Specialisations	Boring_study_path	Opportunity_to_Transfer	Wrong_Speciality	Extreme_Workload	Family_issues	Financial_Issues	Health_Issues	Psychological_social_Issues	Hard_Curricular	Learning_Difficulties	Less_Support_from_Uni	Employment	Thesis	Student_Supervisor_Relationship	Perfectionism	Track_Student_Behaviour	Counseling	Academic_support_programs	Inform_Relevant_People	Track_Dropouts	Supervisor_Communication	Talk_to_Students	Seminars_and_Courses	Stuy_and_SelfManagement	Curriculum_Development	Group_Discussions	To_check_courseregistration	Check_study_results	Tax_office_data	Industry_perspectives	Qualitative_Data	Previous_Studies	Admission_Choice	Reasonfor_Academic_Leaves	Numberof_studentdropouts	Admission_Score	Extracurricular_courses	credits_Nextsem_Previoussem	LowGrades_FailedCourses	Nextsem_Payments	International_National_Clusters
SE1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SE3	3	1	2	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1
Philosophy2	0	0	1	0	0	2	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	3	1	1	2	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0
Philosophy3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
Counselling1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Counselling2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Counselling3	1	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	3	2	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
Romance2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0
Romance3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
Romance4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Pharmacy2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0
Pharmacy3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
