Participant	SE1	SE3	Philosophy2	Philosophy3	Philosophy4	Counselling1	Counselling2	Counselling3	Romance2	Romance3	Romance4	Pharmacy2	Pharmacy3
SocietalIssue	0	0	0	0	0	0	0	0	1	0	0	0	0
StudentChoice	0	1	0	1	0	0	1	1	0	0	0	0	0
PoliticalProblem	0	1	0	0	0	0	0	0	0	0	0	0	0
NMI	0	1	0	0	0	0	0	0	0	0	0	0	0
LowCompletion	0	1	1	0	0	0	0	0	1	0	0	0	0
WasteofInvestments	0	1	1	0	0	0	0	1	0	0	0	0	0
Studenttooktheplace	0	0	0	0	0	0	0	0	1	0	0	0	0
N_PopularS	0	0	0	0	0	0	0	0	0	0	0	1	1
NInterest	0	1	0	0	0	0	0	1	0	0	0	0	0
OTransfer	0	0	0	0	0	0	0	0	1	1	0	1	0
WSpeciality	0	0	1	1	0	0	0	0	1	0	0	1	0
E_Workload	0	0	0	0	0	0	0	0	0	0	1	0	0
FamilyIssues	0	1	1	0	0	0	0	0	0	0	0	0	0
FinancialI	0	1	0	0	0	0	1	0	0	0	0	0	0
HealthP	0	0	0	1	0	0	0	0	0	0	0	0	0
PsychologicalAndSocial	0	0	1	0	0	0	0	0	0	0	0	0	0
DifficulutCourse	0	0	0	0	0	1	1	1	0	0	0	0	0
LearningD	0	0	1	0	0	0	0	1	0	0	0	1	0
Employment	1	1	1	0	0	0	1	1	0	0	0	0	0
Thesis	0	0	0	0	0	0	1	0	1	0	0	0	0
Perfectionism	0	1	0	0	0	0	0	0	0	0	0	0	0
