Participant	SocietalIssue	StudentChoice	PoliticalProblem	NotaHugeLoss	NotMuchImpact	Finishdegree	GetPromotedinCareer	LowCompletion	LowProbabilityinJob	WasteofInvestments	StudenttookSomeonesplace	N_PopularS	NInterest	OTransfer	WSpeciality	E_Workload	FamilyI	FinancialI	HealthP	Psyco_Social	DifficulutCourse	LearningD	Employment	Thesis	Perfectionism
SE1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SE3	0	3	1	0	2	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	3	0	1
Philosophy2	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0
Philosophy3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Philosophy4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Counselling1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Counselling2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0
Counselling3	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0
Romance2	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0
Romance3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Romance4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pharmacy2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	2	0	0	0
Pharmacy3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
